Siit	siit	siit	0		D	
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
keinud	####	####				
      	#käinud	käi	nud		V	nud
nii	nii	nii	0		D	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Hans	Hans	Hans	0		H	sg n
Sönnajalg	####	####				
        	#Sõnajalg	Sönnajalg	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
üllesse	####	####				
       	#üles	üles	0		D	
andnut	and=nu	and=nu	t		S	sg p
      	£andnud	and	nut		V	nud
.	.	.			Z	
See	see	see	0		P	sg n
ollema	####	####				
      	#olema	ole	ma		V	ma
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
Karelsohni	####	####				
          	#Karelsohni	Karelsohn	0		H	sg g
süüd	süüd	süüd	0		S	sg n
    	süü	süü	d		S	pl n
    	@süüd	süü	d		S	sg p
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ennast	ennast	ise	t		P	sg p
sinna	sinna	sinna	0		D	
löime	####	####				
     	#lõime	lõim	0		S	adt
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
andnut	and=nu	and=nu	t		S	sg p
      	£andnud	and	nut		V	nud
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
polle	####	####				
     	#pole	ole	0		V	neg o
tedda	####	####				
     	#teda	tema	da		P	sg p
rahho	####	####				
      	#rahu	rahu	0		S	sg p
jätnud	jät=nud	jät=nud	0		A	
      	jät=nud	jät=nud	0		A	sg n
      	jät=nu	jät=nu	d		S	pl n
      	jät=nud	jät=nud	d		A	pl n
      	@jätnud	jät	nud		V	nud
.	.	.			Z	
Kas	kas	kas	0		D	
see	see	see	0		P	sg n
laps	laps	laps	0		S	sg n
peab	peab	pida	b		V	b
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
nimme	nimme	nimme	0		D	
     	nimme	nimme	0		S	sg g
     	nimme	nimme	0		S	sg n
     	£nime	nimi	0		S	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
jäma	####	####				
    	#jääma	jää	ma		V	ma
,	,	,			Z	
sedda	####	####				
     	#seda	see	da		P	sg p
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	või	või	0		J	
   	või	või	0		D	
   	#või	või	0		V	o
töendada	####	####				
        	#tõendada	tõenda	da		V	da
,	,	,			Z	
need	need	see	d		P	pl n
päwad	####	####				
     	#päevad	päev	d		S	pl n
polle	####	####				
     	#pole	ole	0		V	neg o
mitte	mitte	mitte	0		D	
meeles	meeles	meel	s		S	sg in
,	,	,			Z	
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
rohkem	rohkem	rohkem	0		D	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
üks	@üks	üks	0		N	sg n
   	üks	üks	0		P	sg n
kord	kord	kord	0		D	
    	@kord	kord	0		S	sg n
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
Karelsohniga	####	####				
            	#Karelsohniga	Karelsohn	ga		H	sg kom
koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
.	.	.			Z	
Tio	####	####				
   	#Tiiu	Tio	0		H	sg n
Karelsohn	####	####				
        	#Karelsohn	Karelsohn	0		H	sg n
astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
waidles	vaidles	vaidle	s		V	s
wasto	####	####				
     	#vastu	vastu	0		D	
     	vastu	vastu	0		K	
et	et	et	0		J	
see	see	see	0		P	sg n
mitte	mitte	mitte	0		D	
polle	####	####				
     	#pole	ole	0		V	neg o
tössi	töss	töss	0		S	adt
     	töss	töss	0		S	sg g
     	töss	töss	0		S	sg p
     	£tõsi	tõsi	0		S	sg n
miss	miss	miss	0		S	sg n
    	£mis	mis	0		P	sg n
Jaak	@Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Sönnajalg	####	####				
         	#Sõnajalg	Sönnajalg	0		H	sg n
tunnistab	tunnistab	tunnista	b		V	b
.	.	.			Z	
Temmal	####	####				
      	#temal	tema	l		P	sg ad
polle	####	####				
     	#pole	ole	0		V	neg o
teistega	teine	teine	tega		O	pl kom
        	@teistega	teine	tega		P	pl kom
teggemist	####	####				
        	#tegemist	tegemine	t		S	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
Jaak	@Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Sönnajallaga	####	####				
            	#Sõnajalaga	Sönnajalg	ga		H	sg kom
egga	####	####				
    	ega	ega	0		D	
    	#ega	ega	0		J	
koa	####	####				
   	#ka	ka	0		D	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
Paijosi	####	####				
       	#Pajusi	Paijosi	0		H	sg g
soldatiga	soldatiga	soldat	ga		S	sg kom
,	,	,			Z	
waid	vaid	vaid	0		D	
    	@vaid	vaid	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
peab	peab	pida	b		V	b
Hans	Hans	Hans	0		H	sg n
Sönnajalla	####	####				
          	#Sõnajala	Sönnajalg	0		H	sg g
küllest	####	####				
       	#küljest	külg	st		S	sg el
kinni	kinni	kinni	0		D	
kellega	kes	kes	ga		P	pl kom
       	@kellega	kes	ga		P	sg kom
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
aino	####	####				
    	¤					
üksi	üksi	üksi	0		D	
peini	####	####				
     	¤					
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ümber	@ümber	ümber	0		D	
     	ümber	ümber	0		K	
keinut	####	####				
      	#käinud	käi	nut		V	nud
.	.	.			Z	
Moisteti	####	####				
        	#mõisteti	mõist	ti		V	ti
:	:	:			Z	
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohus	@kohus	kohus	0		S	sg n
     	kohu	kohu	s		V	s
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
sa	sina	sina	0		P	sg n
  	£saa	saa	0		V	o
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
asjale	asjale	asi	le		S	sg all
selget	selget	selge	t		A	sg p
pöhja	####	####				
     	#põhja	põhi	0		S	sg p
peale	@peale	peale	0		D	
     	peale	peale	0		K	
     	pea	pea	le		S	sg all
ning	ning	ning	0		J	
saab	saab	saa	b		V	b
nüd	####	####				
   	#nüüd	nüüd	0		D	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
see	see	see	0		P	sg n
asi	@asi	asi	0		S	sg n
   	asi	asi	0		V	o
keiserliko	####	####				
          	#keiserliku	keiserlik	0		A	sg g
kihelkonna	kihelkonna	kihelkond	0		S	sg g
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
oiendada	####	####				
        	#õiendada	õienda	da		V	da
üllesse	####	####				
       	#üles	üles	0		D	
antut	antud	antud	t		A	sg p
     	£antud	and	tut		V	tud
.	.	.			Z	
