Ette	esi	esi	tte		S	adt
.	.	.			Z	
Andre	Andre	Andre	0		H	sg g
     	@Andre	Andre	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
munna	####	####				
     	#muna	muna	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
kül	####	####				
   	#küll	küll	0		D	
sääl	####	####				
    	#seal	seal	0		D	
akna	akna	aken	0		S	sg g
pääl	####	####				
    	#peal	peal	0		K	
nink	####	####				
    	#ning	ning	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
kaije	####	####				
     	#kaesin	kae	ije		V	sin
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
tedda	####	####				
     	#teda	tema	da		P	sg p
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
üttel	üte	üte	l		S	sg ad
     	£ütles	ütle	0		V	s
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
munna	####	####				
     	#muna	muna	0		S	sg n
massap	####	####				
      	#maksab	maks	p		V	b
50	50	50	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
nink	####	####				
    	#ning	ning	0		J	
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
panni	pann	pann	0		S	adt
     	pann	pann	0		S	sg g
     	pann	pann	0		S	sg p
     	£panin	pane	i		V	sin
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
akna	akna	aken	0		S	sg g
päle	####	####				
    	#peale	peale	0		K	
    	peale	peale	0		D	
,	,	,			Z	
ent	ent	ent	0		J	
kes	kes	kes	0		P	pl n
   	@kes	kes	0		P	sg n
tedda	####	####				
     	#teda	tema	da		P	sg p
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
wõttis	võttis	võt	is		V	s
sedda	####	####				
     	#seda	see	da		P	sg p
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tija	####	####				
    	#tea	tead	0		V	o
,	,	,			Z	
muud	@muud	muu	d		P	pl n
    	muu	muu	d		P	sg p
    	muu	muu	d		S	pl n
    	muu	muu	d		S	sg p
    	muu	muu	d		V	d
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
käwwe	####	####				
     	#käisid	käi	wwe		V	sid
kül	####	####				
   	#küll	küll	0		D	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
wahhe	####	####				
     	#vahe	vahe	0		S	sg g
aja	@aja	aeg	0		S	sg g
   	aja	aja	0		V	o
sissen	####	####				
      	#sees	sees	0		K	
wäljan	välja	välja	n		V	n
      	£väljas	väljas	0		D	
.	.	.			Z	
Kersna	####	####				
      	#Kersna	Kersna	0		H	sg g
Erik	Erik	Erik	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
olli	####	####				
    	oli	ole	i		V	s
    	#olin	ole	i		V	sin
kül	####	####				
   	#küll	küll	0		D	
sääl	####	####				
    	#seal	seal	0		D	
kambren	####	####				
       	#kambris	kamber	n		S	sg in
ja	ja	ja	0		J	
mängse	####	####				
      	#mängisin	mängi	se		V	sin
Claverid	####	####				
        	#klaveri	klaver	d		S	sg p
nink	####	####				
    	#ning	ning	0		J	
es	es	es			H	?
  	@ei	ei	s		V	neg s
näe	näe	näge	0		V	o
mitte	mitte	mitte	0		D	
kes	kes	kes	0		P	pl n
   	@kes	kes	0		P	sg n
se	####	####				
  	see	see	0		P	sg n
  	#selle	see	0		P	sg g
munna	####	####				
     	#muna	muna	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
warrastas	varrasta	varrasta	s		V	s
         	£varastas	varasta	s		V	s
nink	####	####				
    	#ning	ning	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
se	####	####				
  	see	see	0		P	sg n
  	#selle	see	0		P	sg g
minna	mine	mine	a		V	da
     	£muna	muna	0		S	sg g
kätte	@kätte	käsi	tte		S	adt
     	kätte	kätte	0		K	
saije	####	####				
     	#sain	saa	ije		V	sin
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
naksiwa	naksi=v	naksi=v	0		A	sg g
       	£nakkasivad	nakka	siva		V	sid
ka	ka	ka	0		D	
minno	####	####				
     	mind	mina	0		P	sg p
     	#minu	mina	0		P	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
nõudma	nõudma	nõud	ma		V	ma
nink	####	####				
    	#ning	ning	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
ütli	####	####				
    	#ütlesin	ütle	i		V	sin
et	et	et	0		J	
minnost	####	####				
       	#minust	mina	st		P	sg el
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
täämba	####	####				
      	#täna	täna	0		D	
selletajat	####	####				
          	#seletajat	seletaja	t		S	sg p
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
selleta	see	see	ta		P	sg ab
       	£seletan	seleta	0		V	n
hummen	####	####				
      	#homme	homme	0		D	
.	.	.			Z	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Sok	####	####				
   	#Sokk	Sok	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
päiwal	####	####				
      	#päeval	päev	l		S	sg ad
wai	vai	vai	0		S	sg n
   	£või	või	0		J	
oddangul	####	####				
        	#õhtul	õdak	l		S	sg ad
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
sedda	####	####				
     	#seda	see	da		P	sg p
minna	mine	mine	a		V	da
     	£muna	muna	0		S	sg p
suggugi	####	####				
       	#sugugi	sugugi	0		D	
nännü	####	####				
     	#näinud	näge	nnü		V	nud
nink	####	####				
    	#ning	ning	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tija	####	####				
    	#tea	tead	0		V	o
kas	kas	kas	0		D	
tedda	####	####				
     	#teda	tema	da		P	sg p
sääl	####	####				
    	#seal	seal	0		D	
olli	####	####				
    	#oli	ole	i		V	s
wai	vai	vai	0		S	sg n
   	£või	või	0		J	
mitte	mitte	mitte	0		D	
.	.	.			Z	
Tunnistaja	tunnistaja	tunnistaja	0		S	sg g
          	@tunnistaja	tunnistaja	0		S	sg n
Peter	Peeter	Peter	0		H	sg n
Windt	####	####				
     	#Windt	Windt	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
meije	####	####				
     	#meie	mina	0		P	pl n
löüdsime	####	####				
        	#leidsime	leid	sime		V	sime
se	####	####				
  	see	see	0		P	sg n
  	#selle	see	0		P	sg g
munna	####	####				
     	#muna	muna	0		S	sg g
enne	@enne	enne	0		D	
    	enne	enne	0		K	
    	enne	enne	0		S	sg n
puuriida	puuriida	puu_riit	0		S	sg g
sissest	####	####				
       	#seest	seest	0		K	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
nink	####	####				
    	#ning	ning	0		J	
muud	muu	muu	d		P	pl n
    	@muud	muu	d		P	sg p
    	muu	muu	d		S	pl n
    	muu	muu	d		S	sg p
    	muu	muu	d		V	d
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tija	####	####				
    	#tea	tead	0		V	o
.	.	.			Z	
Otsus	otsus	otsus	0		S	sg n
:	:	:			Z	
Tunnistaja	tunnistaja	tunnistaja	0		S	sg g
          	@tunnistaja	tunnistaja	0		S	sg n
Tannil	####	####				
      	#Tanel	Tannil	0		H	sg n
Seme	####	####				
    	#Seeme	Seme	0		H	sg n
tõises	####	####				
      	#teises	teine	s		O	sg in
kohtupäiwas	####	####				
           	#kohtupäevas	kohtu_päev	s		S	sg in
.	.	.			Z	
Pääkohtumees	####	####				
            	#peakohtumees	pea_kohtu_mees	0		S	sg n
A. Wähhi	####	####				
        	#A._Vähi	A._Wähhi	0		H	sg n
[	[	[			Z	
allkiri	allkiri	all_kiri	0		S	sg n
]	]	]			Z	
Kohtumees	kohtumees	kohtu_mees	0		S	sg n
K. Lõhmus	####	####				
         	#K._Lõhmus	K._Lõhmus	0		H	sg n
[	[	[			Z	
allkiri	allkiri	all_kiri	0		S	sg n
]	]	]			Z	
Kohtumees	kohtumees	kohtu_mees	0		S	sg n
Mihel	####	####				
     	#Mihkel	Mihel	0		H	sg n
Ugur	####	####				
    	#Ugur	Ugur	0		H	sg n
[	[	[			Z	
allkiri	allkiri	all_kiri	0		S	sg n
]	]	]			Z	
Kirjotaja	####	####				
         	#kirjutaja	kirjutaja	0		S	sg n
         	kirjutaja	kirjutaja	0		S	sg g
Jõggewa	####	####				
       	#Jõgeva	Jõggewa	0		H	sg n
