Ollid	Olli	Olli	d		H	pl n
           	#raudvaraks	raud_vara	ks		S	sg tr
1	1	1	0		N	?
hobbune	####	####				
       	#hobune	hobune	0		S	sg n
köirb	####	####				
     	#kõrb	kõrb	0		A	sg n
ruun	ruun	ruun	0		S	sg n
7	7	7	0		N	?
aas	aas	aas	0		S	sg n
   	£aas	aas	0		Y	?
:	:	:			Z	
wan	van	van	0		Y	?
   	£vana	vana	0		A	sg n
1	1	1	0		N	?
härg	härg	härg	0		S	sg n
ruske	ruske	ruske	0		A	sg g
     	@ruske	ruske	0		A	sg n
     	rusk	rusk	e		S	pl p
kirribe	####	####				
       	#kirjupea	kirju_pea	0		A	sg n
6	6	6	0		N	?
astat	####	####				
     	#aastat	aasta	t		S	sg p
wan	van	van	0		Y	?
   	£vana	vana	0		A	sg n
1	1	1	0		N	?
mära	mära	mära	0		S	sg g
    	@mära	mära	0		S	sg n
    	mära	mära	0		S	sg p
hobbune	####	####				
       	#hobune	hobune	0		S	sg n
13	13	13	0		N	?
aastat	aastat	aasta	t		S	sg p
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
1	1	1	0		N	?
must	mina	mina	st		P	sg el
    	@must	must	0		A	sg n
    	must	must	0		S	sg n
ruun	ruun	ruun	0		S	sg n
4	4	4	0		N	?
aastat	aastat	aasta	t		S	sg p
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
1	1	1	0		N	?
hail	hai	hai	l		S	sg ad
    	¤					
täkk	täkk	täkk	0		S	sg n
2	2	2	0		N	?
aastat	aastat	aasta	t		S	sg p
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
2.	2.	2.	0		O	?
1	1	1	0		N	?
härg	härg	härg	0		S	sg n
8	8	8	0		N	?
aastat	aastat	aasta	t		S	sg p
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
teine	@teine	teine	0		O	sg n
     	teine	teine	0		P	sg n
härg	härg	härg	0		S	sg n
7	7	7	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
kolmas	kolmas	kolmas	0		O	sg n
7	7	7	0		N	?
aas	aas	aas	0		S	sg n
   	£aas	aas	0		Y	?
weis	veis	veis	0		S	sg n
4	4	4	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
kues	####	####				
    	#kuues	kuues	0		O	sg n
3	3	3	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
seitsmes	seitse	seitse	s		N	sg in
        	@seitsmes	seitsmes	0		O	sg n
2	2	2	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
kahhesas	####	####				
        	#kaheksas	kaheksas	0		O	sg n
1	1	1	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
3.	3.	3.	0		O	?
1	1	1	0		N	?
lehm	lehm	lehm	0		S	sg n
9	9	9	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
:	:	:			Z	
teine	@teine	teine	0		O	sg n
     	teine	teine	0		P	sg n
8	8	8	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
:	:	:			Z	
kolmas	kolmas	kolmas	0		O	sg n
5	5	5	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
Neljas	neli	neli	s		N	sg in
      	@neljas	neljas	0		O	sg n
mullik	mul=lik	mul=lik	0		A	sg n
      	£mullikas	mullik	0		S	sg n
1	1	1	0		N	?
aasta	aasta	aasta	0		S	sg g
     	@aasta	aasta	0		S	sg n
2	2	2	0		N	?
emma	####	####				
    	#ema	ema	0		S	sg g
taggast	####	####				
       	#tagant	tagant	0		K	
wassik	####	####				
      	#vasikas	vasik	0		S	sg n
4.	4.	4.	0		O	?
sead	sead	sead	d		V	d
    	siga	siga	d		A	pl n
    	@sead	siga	d		S	pl n
wannad	####	####				
      	#vanad	vana	d		A	pl n
ja	ja	ja	0		J	
nored	####	####				
     	#noored	noor	d		A	pl n
koggo	####	####				
     	#kokku	kokku	0		D	
5	5	5	0		N	?
tükki	tükk	tükk	0		S	adt
     	@tükki	tükk	0		S	sg p
     	tükki	tükki	0		D	
5.	5.	5.	0		O	?
kaks	kaks	kaks	0		N	sg n
wehmri	vehmri	vehmer	0		S	sg g
täit	täis	täis	t		A	sg p
    	@täit	täis	t		S	sg p
raud	raud	raud	0		S	sg n
rattad	rattad	ratas	d		S	pl n
parri	####	####				
     	#paari	paar	0		N	sg g
ellajate	####	####				
        	#elajate	elajas	te		S	pl g
kahhed	####	####				
      	#kahed	kaks	d		N	pl n
wannad	####	####				
      	#vanad	vana	d		A	pl n
pari	pari	pari	0		S	sg g
    	pari	pari	0		S	sg n
    	pari	pari	0		S	sg p
    	£paari	paar	0		N	sg g
ellajatte	####	####				
         	#elajate	elajas	tte		S	pl g
raud	raud	raud	0		S	sg n
rattad	rattad	ratas	d		S	pl n
kahhed	####	####				
      	#kahed	kaks	d		N	pl n
uued	uued	uus	d		A	pl n
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	#ühe	üks	0		N	sg g
    	ühe	üks	0		P	sg g
hobbuse	####	####				
       	#hobuse	hobune	0		S	sg g
raud	raud	raud	0		S	sg n
rattad	rattad	ratas	d		S	pl n
6.	6.	6.	0		O	?
3	3	3	0		N	?
raud	raud	raud	0		S	sg n
talla	@talla	tald	0		S	sg g
     	talla	talla	0		V	o
regge	####	####				
     	#rege	regi	0		S	sg p
2	2	2	0		N	?
head	hea	hea	d		A	pl n
    	@head	hea	d		A	sg p
    	hea	hea	d		S	pl n
    	hea	hea	d		S	sg p
sani	####	####				
    	#saani	saan	0		S	sg p
7.	7.	7.	0		O	?
Wilja	Vilja	Vilja	0		H	sg g
     	Vilja	Vilja	0		H	sg n
     	vili	vili	0		S	adt
     	@vilja	vili	0		S	sg g
     	vili	vili	0		S	sg p
kirstud	kirstud	kirst	d		S	pl n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
5	5	5	0		N	?
tükki	tükk	tükk	0		S	adt
     	@tükki	tükk	0		S	sg p
     	tükki	tükki	0		D	
3	3	3	0		N	?
suurt	suurt	suur	t		A	sg p
wilja	vili	vili	0		S	adt
     	vili	vili	0		S	sg g
     	vili	vili	0		S	sg p
     	vilja	vili	0		S	adt
     	@vilja	vili	0		S	sg g
     	vilja	vili	0		S	sg p
kehha	####	####				
     	#vaati	keha	0		S	sg p
kolm	kolm	kolm	0		N	sg n
suurt	suurt	suur	t		A	sg p
ölle	####	####				
    	#õlle	õlu	0		S	sg g
tört	####	####				
    	#tõrt	tõrs	t		S	sg p
8	8	8	0		N	?
ölle	####	####				
    	#õlle	õlu	0		S	sg g
kehha	####	####				
     	#vaati	keha	0		S	sg p
8.	8.	8.	0		O	?
seppa	sepp	sepp	0		S	adt
     	sepp	sepp	0		S	sg p
     	£sepa	sepp	0		S	sg g
paia	####	####				
    	#paja	paja	0		S	sg n
keiges	####	####				
      	#kõige	kõike	0		D	
riistadega	riistadega	riist	dega		S	pl kom
;	;	;			Z	
2	2	2	0		N	?
suurt	suurt	suur	t		A	sg p
padda	####	####				
     	#pada	pada	0		S	sg p
1	1	1	0		N	?
pissuke	####	####				
       	#pisike	pisike	0		A	sg n
padda	####	####				
     	#pada	pada	0		S	sg n
15	15	15	0		N	?
wikkatid	####	####				
        	#vikatit	vikat	d		S	sg p
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
head	@head	hea	d		A	pl n
    	hea	hea	d		A	sg p
    	hea	hea	d		S	pl n
    	hea	hea	d		S	sg p
1	1	1	0		N	?
pusepa	####	####				
      	#puusepa	puu_sepp	0		S	sg g
pink	pink	pink	0		S	sg n
1	1	1	0		N	?
kärp	kärp	kärp	0		S	sg n
saag	saag	saag	0		S	sg n
2	2	2	0		N	?
ramidega	####	####				
        	#raamidega	raam	dega		S	pl kom
sagi	sagi	sagi	0		V	o
    	sina	sina	0	gi	P	sg n
    	£saagi	saag	0		S	sg p
,	,	,			Z	
12	12	12	0		N	?
uut	uut	uus	t		A	sg p
räim	räim	räim	0		S	sg n
wörko	####	####				
     	#võrku	võrk	0		S	sg p
lakka	lakk	lakk	0		S	adt
     	lakk	lakk	0		S	sg p
     	lakka	lakka	0		V	o
     	£laka	lakk	0		S	sg g
lehhad	####	####				
      	¤					
4	4	4	0		N	?
tükki	tükk	tükk	0		S	adt
     	@tükki	tükk	0		S	sg p
     	tükki	tükki	0		D	
2	2	2	0		N	?
suurt	suurt	suur	t		A	sg p
wikkati	####	####				
       	#vikati	vikat	0		S	sg g
käia	käi	käi	0		S	adt
    	käi	käi	0		S	sg g
    	@käia	käi	0		S	sg p
    	käia	käia	0		V	o
    	käi	käi	a		V	da
uks	uks	uks	0		S	sg n
   	£üks	üks	0		N	sg n
tulik	####	####				
     	#tuulik	tuulik	0		S	sg n
Törri	####	####				
     	#Törri	Törri	0		H	sg g
Janiga	Jan	Jan	ga		H	sg kom
      	£Jaaniga	Jaen	ga		H	sg kom
ühte	ühe	ühe	0		S	sg g
    	@ühte	ühte	0		D	
    	üks	üks	0		N	adt
    	üks	üks	0		N	sg p
    	üks	üks	0		P	adt
    	üks	üks	0		P	sg p
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
hone	####	####				
    	#hoone	hoone	0		S	sg n
täis	täis	täis	0		A	
    	@täis	täis	0		A	sg n
    	täis	täis	0		D	
    	täis	täis	0		S	sg n
    	täi	täi	s		S	sg in
    	täi	täi	s		V	s
3me	####	####				
   	#3	3	0		N	sg g
tollisse	toll	toll	sse		S	sg ill
        	£tollise	tolline	0		A	sg g
plankusid	plankusid	plank	sid		S	pl p
sae	@sae	saag	0		S	sg g
   	saagi	saagi	0		V	o
laudu	laudu	laud	u		S	pl p
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
2	2	2	0		N	?
tossinad	####	####				
        	#tosinat	tosin	d		N	sg p
heina	hein	hein	0		S	adt
     	@heina	hein	0		S	sg g
     	hein	hein	0		S	sg p
korma	####	####				
     	#koorma	koorem	0		S	sg g
köisi	köisi	köis	i		S	pl p
törwasid	####	####				
        	#tõrvasid	tõrv	sid		S	sg p
3	3	3	0		N	?
,	,	,			Z	
korma	####	####				
     	#koorma	koorem	0		S	sg g
jäggo	####	####				
     	#jagu	jagu	0		K	
Ruggi	####	####				
     	#rukki	rukis	0		S	sg g
wilja	vili	vili	0		S	adt
     	vili	vili	0		S	sg g
     	vili	vili	0		S	sg p
     	vilja	vili	0		S	adt
     	vilja	vili	0		S	sg g
     	@vilja	vili	0		S	sg p
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
32	32	32	0		N	?
wakka	vakk	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	vakka	vakk	0		S	sg p
Odrad	odrad	oder	d		S	pl n
30	30	30	0		N	?
wakka	vakk	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	vakka	vakk	0		S	sg p
seme	####	####				
    	#seeme	seeme	0		S	sg n
kartuhlid	####	####				
         	#kartulid	kartul	d		S	pl n
30	30	30	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
söma	####	####				
    	#sööma	sööm	0		S	sg g
kartuhlid	####	####				
         	#kartulid	kartul	d		S	pl n
40	40	40	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
wanna	####	####				
     	vana	vana	0		A	sg n
     	#vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
sea	sead	sead	0		V	o
   	siga	siga	0		A	sg g
   	@sea	siga	0		S	sg g
lihhad	####	####				
      	#lihad	liha	d		S	pl n
ning	ning	ning	0		J	
lehma	lehm	lehm	0		S	adt
     	@lehma	lehm	0		S	sg g
     	lehm	lehm	0		S	sg p
lihhad	####	####				
      	#lihad	liha	d		S	pl n
6	6	6	0		N	?
külmutune	####	####				
         	#külimitune	külimitune	0		A	sg n
kehha	####	####				
     	#vaat	keha	0		S	sg n
räimed	räimed	räim	d		S	pl n
Agga	####	####				
    	#aga	aga	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Nonnile	####	####				
       	#Nonnile	Ninn	le		H	sg all
wind	vind	vind	0		S	sg n
    	£viinud	vii	nd		V	nud
15	15	15	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
Ruggid	####	####				
      	#rukkid	rukis	d		S	pl n
8	8	8	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
odrad	odrad	oder	d		S	pl n
1	1	1	0		N	?
Lehm	lehm	lehm	0		S	sg n
1	1	1	0		N	?
,	,	,			Z	
4ja	####	####				
   	#4	4	0		N	sg g
aastane	aastane	aastane	0		A	sg n
ruun	ruun	ruun	0		S	sg n
hobbune	####	####				
       	#hobune	hobune	0		S	sg n
1	1	1	0		N	?
aastane	aastane	aastane	0		A	sg n
orrik	####	####				
     	#orikas	orikas	0		S	sg n
sigga	####	####				
     	#siga	siga	0		S	sg n
5	5	5	0		N	?
olle	####	####				
    	ole	ole	0		V	o
    	#õlle	õlu	0		S	sg g
kehha	####	####				
     	#vaati	keha	0		S	sg p
10	10	10	0		N	?
Leiskad	####	####				
       	¤					
rauda	raud	raud	0		S	adt
     	@rauda	raud	0		S	sg p
Keik	####	####				
    	#kõik	kõik	0		P	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
nimmetud	nimme=tu	nimme=tu	d		A	pl n
        	@nimetatud	nimeta	tud		V	tud
kramiga	####	####				
       	#kraamiga	kraam	ga		S	sg kom
ollen	####	####				
     	#olen	ole	n		V	n
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
Jaen	####	####				
    	#Jaan	Jaen	0		H	sg n
Ninn	####	####				
    	#Ninn	Ninn	0		H	sg n
sedda	####	####				
     	#seda	see	da		P	sg p
puumaad	puu_maa	puu_maa	d		S	pl n
       	puu_maa	puu_maa	d		S	sg p
       	£talukohta	puu_maa	d		S	sg p
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Keil	####	####				
    	#Keil	Keil	0		H	sg n
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
annud	####	####				
     	#andnud	and	nud		V	nud
ja	ja	ja	0		J	
tömman	####	####				
      	#tõmban	tõmba	n		V	n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
käega	käega	käsi	ga		S	sg kom
3	3	3	0		N	?
risti	rist	rist	0		S	adt
     	rist	rist	0		S	sg g
     	@risti	rist	0		S	sg p
     	risti	risti	0		D	
     	risti	risti	0		S	sg g
     	risti	risti	0		S	sg n
     	risti	risti	0		V	o
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
nimme	nimme	nimme	0		D	
     	nimme	nimme	0		S	sg g
     	nimme	nimme	0		S	sg n
     	£nime	nimi	0		S	sg g
otsa	ots	ots	0		S	adt
    	ots	ots	0		S	sg g
    	ots	ots	0		S	sg p
    	otsa	otsa	0		D	
    	@otsa	otsa	0		K	
    	otsa	otsa	0		V	o
,	,	,			Z	
ja	ja	ja	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
ka	ka	ka	0		D	
et	et	et	0		J	
ma	mina	mina	0		P	sg n
Jani	Jan	Jan	0		H	adt
    	Jan	Jan	0		H	sg g
    	Jan	Jan	0		H	sg p
    	£Jaani	Jaen	0		H	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
aia	aed	aed	0		S	sg g
   	£aja	aja	0		V	o
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
.	.	.			Z	
Jaen	####	####				
    	#Jaan	Jaen	0		H	sg n
Ninn	####	####				
    	#Ninn	Ninn	0		H	sg n
xxx	####	####				
   	#xxx	xxx	0		Y	?
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Keil	####	####				
    	#Keil	Keil	0		H	sg n
xxx	####	####				
   	#xxx	xxx	0		Y	?
