Protokoll	protokoll	protokoll	0		S	sg n
     	@haige	haige	0		A	sg n
     	haige	haige	0		S	sg g
     	haige	haige	0		S	sg n
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
ja	ja	ja	0		J	
nüüd	nüüd	nüüd	0		D	
ristluist	ristluist	rist_luu	ist		S	pl el
wiggane	####	####				
       	#vigane	vigane	0		A	sg n
.	.	.			Z	
Astub	astub	astu	b		V	b
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
Karel	####	####				
     	#Kaarel	Karel	0		H	sg n
Krinbaum	####	####				
        	#Krinbaum	Krinbaum	0		H	sg n
ja	ja	ja	0		J	
ütleb	ütleb	ütle	b		V	b
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ka	ka	ka	0		D	
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
moisas	####	####				
      	#mõisas	mõis	s		S	sg in
karttuhwlid	kart_tuhvel	kart_tuhvel	d		S	pl n
           	£kartulid	kartohvel	d		S	pl n
wötmas	####	####				
      	#võtmas	võt	mas		V	mas
,	,	,			Z	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
lõunele	####	####				
       	#lõunale	lõuna	le		S	sg all
läind	####	####				
     	#läinud	mine	nd		V	nud
möda	####	####				
    	#mööda	mööda	0		K	
    	mööda	mööda	0		D	
teed	tee	tee	d		S	pl n
    	@teed	tee	d		S	sg p
    	tege	tege	d		V	d
ja	ja	ja	0		J	
Gustas	####	####				
      	#Gustas	Gustas	0		H	sg n
Enner	####	####				
     	#Enner	Enner	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
järrel	####	####				
      	järel	järel	0		D	
      	#järel	järel	0		K	
läind	####	####				
     	#läinud	mine	nd		V	nud
sure	sure	sure	0		V	o
    	£suure	suur	0		A	sg g
aiamissega	####	####				
          	#ajamisega	ajamine	ga		S	sg kom
(	(	(			Z	
ni	####	####				
  	#nii	nii	0		D	
paljo	####	####				
     	#palju	palju	0		D	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
jaksab	jaksab	jaksa	b		V	b
jooksta	@joosta	jooks	ta		V	da
       	jooks	jooks	ta		V	ta
)	)	)			Z	
ja	ja	ja	0		J	
piddand	####	####				
       	#pidanud	pida	nd		V	nud
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
aiama	####	####				
     	#ajama	aja	ma		V	ma
,	,	,			Z	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
pörand	####	####				
      	#põrand	põrand	0		S	sg n
wasto	####	####				
     	#vastu	vastu	0		D	
     	vastu	vastu	0		K	
ja	ja	ja	0		J	
lönud	####	####				
     	#löönud	löö	nud		V	nud
käed	käed	käsi	d		S	pl n
laiale	laid	laid	le		S	sg all
      	lai	lai	le		A	sg all
      	£laiali	laiali	0		D	
ja	ja	ja	0		J	
üttelnud	####	####				
        	#ütelnud	ütle	nud		V	nud
,	,	,			Z	
et	et	et	0		J	
ärra	####	####				
    	ära	ära	0		D	
    	#ära	ära	0		V	neg o
aia	aed	aed	0		S	sg g
   	£aja	aja	0		V	o
peale	@peale	peale	0		D	
     	peale	peale	0		K	
     	pea	pea	le		S	sg all
,	,	,			Z	
siis	@siis	siis	0		D	
    	siis	siis	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
pölwile	####	####				
       	#põlvili	põlvili	0		D	
mahha	####	####				
     	#maha	maha	0		D	
kukkunud	kukku=nud	kukku=nud	0		A	
        	kukku=nud	kukku=nud	0		A	sg n
        	kukku=nu	kukku=nu	d		S	pl n
        	kukku=nud	kukku=nud	d		A	pl n
        	@kukkunud	kukku	nud		V	nud
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
ülle	ülle	ülle	0		D	
    	üle	üle	0		D	
    	@üle	üle	0		K	
hobbose	####	####				
       	#hobuse	hobune	0		S	sg g
pea	pea	pea	0		D	
   	@pea	pea	0		S	sg g
   	pea	pea	0		S	sg n
   	pida	pida	0		V	o
mahha	####	####				
     	#maha	maha	0		D	
läind	####	####				
     	#läinud	mine	nd		V	nud
ja	ja	ja	0		J	
jälle	jälle	jälle	0		D	
selga	@selga	selg	0		S	adt
     	selg	selg	0		S	sg p
hüppand	####	####				
       	#hüpanud	hüppa	nd		V	nud
ja	ja	ja	0		J	
sure	sure	sure	0		V	o
    	£suure	suur	0		A	sg g
aiamessega	####	####				
          	#ajamisega	ajamine	ga		S	sg kom
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
jure	####	####				
    	juurde	juur	de		S	adt
    	juurde	juurde	0		D	
    	#juurde	juurde	0		K	
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
ja	ja	ja	0		J	
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
lõunat	lõunat	lõuna	t		S	sg p
töösolnud	töö+s_ol=nud	töö+s_ol=nud	0		A	
         	töö+s_ol=nud	töö+s_ol=nud	0		A	sg n
         	töö+s_ol=nu	töö+s_ol=nu	d		S	pl n
         	töö+s_ol=nud	töö+s_ol=nud	d		A	pl n
         	£töös_olnud	töö_ole	nud		V	nud
.	.	.			Z	
Astub	astub	astu	b		V	b
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
teist	sina	sina	st		P	pl el
     	tee	tee	ist		S	pl el
     	teine	teine	t		O	sg p
     	@teist	teine	t		P	sg p
     	teist	teist	0		D	
kord	kord	kord	0		D	
    	kord	kord	0		S	sg n
    	£korda	kord	0		S	sg p
Gustas	####	####				
      	#Gustas	Gustas	0		H	sg n
Enner	####	####				
     	#Enner	Enner	0		H	sg n
ja	ja	ja	0		J	
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssib	####	####				
      	#küsib	küsi	b		V	b
kuidas	kuidas	kuidas	0		D	
sa	sa	sina	0		P	sg n
siis	@siis	siis	0		D	
    	siis	siis	0		J	
jälle	jälle	jälle	0		D	
hobbose	####	####				
       	#hobuse	hobune	0		S	sg g
selga	@selga	selg	0		S	adt
     	selg	selg	0		S	sg p
said	said	saa	id		V	sid
kui	kui	kui	0		D	
   	@kui	kui	0		J	
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
sind	sind	sina	d		P	sg p
nenda	####	####				
     	#nõnda	nõnda	0		D	
purruks	purd	purd	ks		S	sg tr
       	£puruks	puruks	0		D	
teggi	####	####				
     	#tegi	tege	i		V	s
ja	ja	ja	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
sa	sa	sina	0		P	sg n
nenda	####	####				
     	#nõnda	nõnda	0		D	
haiged	haige	haige	d		A	pl n
      	haige	haige	d		S	pl n
      	£haiget	haige	d		A	sg p
said	said	saa	id		V	sid
kuidas	kuidas	kuidas	0		D	
sa	sa	sina	0		P	sg n
wöisid	####	####				
      	#võisid	või	sid		V	sid
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
löunat	####	####				
      	#lõunat	lõuna	t		S	sg p
jälle	jälle	jälle	0		D	
töle	####	####				
    	#tööle	töö	le		S	sg all
minna	minna	mine	a		V	da
.	.	.			Z	
Temma	####	####				
     	#tema	tema	0		P	sg n
     	tema	tema	0		P	sg g
kostab	kostab	kost	b		V	b
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
:	:	:			Z	
et	et	et	0		J	
hobbone	####	####				
       	#hobune	hobune	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
halles	####	####				
      	#alles	alles	0		D	
pitkale	####	####				
       	#pikali	pikali	0		D	
maasolnud	maa+s_ol=nud	maa+s_ol=nud	0		A	
         	maa+s_ol=nud	maa+s_ol=nud	0		A	sg n
         	maa+s_ol=nu	maa+s_ol=nu	d		S	pl n
         	maa+s_ol=nud	maa+s_ol=nud	d		A	pl n
         	£maas_olnud	maa_ole	nud		V	nud
ja	ja	ja	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
tassa	####	####				
     	#tasa	tasa	0		D	
illukeste	####	####				
         	#hiljukesti	hiljukesti	0		D	
selga	@selga	selg	0		S	adt
     	selg	selg	0		S	sg p
ronnind	####	####				
       	#roninud	roni	nd		V	nud
ja	ja	ja	0		J	
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
jure	####	####				
    	juurde	juur	de		S	adt
    	juurde	juurde	0		D	
    	#juurde	juurde	0		K	
läind	####	####				
     	#läinud	mine	nd		V	nud
siis	@siis	siis	0		D	
    	siis	siis	0		J	
sure	sure	sure	0		V	o
    	£suure	suur	0		A	sg g
waewaga	vaevaga	vaev	ga		S	sg kom
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
löunat	####	####				
      	#lõunat	lõuna	t		S	sg p
töös	töös	töö	s		S	sg in
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
pakkub	####	####				
      	#pakub	pakku	b		V	b
neile	see	see	le		P	pl all
     	@neile	tema	le		P	pl all
leppitust	####	####				
         	#lepitust	lepitus	t		S	sg p
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
leppi	lepp	lepp	i		S	pl p
     	£lepi	leppi	0		V	o
.	.	.			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
moistab	####	####				
       	#mõistab	mõist	b		V	b
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
et	et	et	0		J	
nemmad	####	####				
      	#nemad	tema	d		P	pl n
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
mõllemad	####	####				
        	#mõlemad	mõlema	d		P	pl n
ühhesuggused	####	####				
            	#ühesugused	üks_sugune	d		A	pl n
süüdlased	süüdlased	süüdlane	d		S	pl n
ja	ja	ja	0		J	
Karel	####	####				
     	#Kaarel	Karel	0		H	sg n
Krinbaum	####	####				
        	#Krinbaum	Krinbaum	0		H	sg n
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
hobbose	####	####				
       	#hobuse	hobune	0		S	sg g
wasta	vasta	vasta	0		V	o
     	vastu	vastu	0		D	
     	@vastu	vastu	0		K	
löi	####	####				
   	#lõi	löö	i		V	s
ja	ja	ja	0		J	
tee	@tee	tee	0		S	sg g
   	tee	tee	0		S	sg n
   	tege	tege	0		V	o
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
körwale	####	####				
       	#kõrvale	kõrvale	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
läind	####	####				
     	#läinud	mine	nd		V	nud
saab	saab	saa	b		V	b
(	(	(			Z	
15	15	15	0		N	?
)	)	)			Z	
wiisteistkümme	####	####				
              	#viisteistkümmend	viis_teist_kümmend	0		N	sg n
witsa	vits	vits	0		S	adt
     	@vitsa	vits	0		S	sg g
     	vits	vits	0		S	sg p
hopi	####	####				
    	#hoopi	hoop	0		S	sg p
ja	ja	ja	0		J	
Gustas	####	####				
      	#Gustas	Gustas	0		H	sg n
Enner	####	####				
     	#Enner	Enner	0		H	sg n
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
ni	####	####				
  	#nii	nii	0		D	
ülle	ülle	ülle	0		D	
    	@üle	üle	0		D	
    	üle	üle	0		K	
liga	liga	liga	0		S	sg g
    	liga	liga	0		S	sg n
    	liga	liga	0		S	sg p
    	£liiga	liiga	0		D	
aias	aed	aed	s		S	sg in
    	£ajas	aja	s		V	s
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
tunnistus	tunnistus	tunnistus	0		S	sg n
ni	####	####				
  	#nii	nii	0		D	
kahtlanne	####	####				
         	#kahtlane	kahtlane	0		A	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
saab	saab	saa	b		V	b
ka	ka	ka	0		D	
(	(	(			Z	
10	10	10	0		N	?
)	)	)			Z	
kümme	kümme	kümme	0		N	sg n
witsa	vits	vits	0		S	adt
     	@vitsa	vits	0		S	sg g
     	vits	vits	0		S	sg p
hopi	####	####				
    	#hoopi	hoop	0		S	sg p
ja	ja	ja	0		J	
se	####	####				
  	#see	see	0		P	sg n
moistminne	####	####				
          	#mõistmine	mõistmine	0		S	sg n
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
ka	ka	ka	0		D	
täidetud	täide=tud	täide=tud	0		A	
        	täide=tud	täide=tud	0		A	sg n
        	täide=tu	täide=tu	d		S	pl n
        	täide=tud	täide=tud	d		A	pl n
        	@täidetud	täit	tud		V	tud
.	.	.			Z	
Agga	####	####				
    	#aga	aga	0		J	
Gustas	####	####				
      	#Gustas	Gustas	0		H	sg n
Enner	####	####				
     	#Enner	Enner	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
kohtoga	koht_oga	koht_oga	0		S	sg g
       	koht_oga	koht_oga	0		S	sg n
       	koht_oga	koht_oga	0		S	sg p
       	£kohtuga	kohus	ga		S	sg kom
rahhul	####	####				
      	rahul	rahu	l		S	sg ad
      	#rahul	rahul	0		D	
waid	vaid	vaid	0		D	
    	@vaid	vaid	0		J	
nöuab	####	####				
     	#nõuab	nõud	b		V	b
suremad	####	####				
       	#suuremat	suurem	t		C	sg p
kohhud	####	####				
      	#kohut	kohus	d		S	sg p
Protokolle	protokolle	protokoll	e		S	pl p
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
antud	an=tu	an=tu	d		S	pl n
     	@antud	and	tud		V	tud
     	antud	antud	0		A	
     	antud	antud	0		A	sg n
     	antud	antud	d		A	pl n
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
sammal	sammal	sammal	0		S	sg n
      	£samal	sama	l		P	sg ad
päwal	####	####				
     	#päeval	päev	l		S	sg ad
Moistmas	####	####				
        	#mõistmas	mõist	mas		V	mas
ollid	####	####				
     	#olid	ole	id		V	sid
peawannem	####	####				
         	#peavanem	pea_vanem	0		S	sg n
Mihkel	@Mihkel	Mihkel	0		H	sg n
      	mihkel	mihkel	0		A	sg n
      	mihkel	mihkel	0		S	sg n
Jana	@Jana	Jana	0		H	sg g
    	Jana	Jana	0		H	sg n
xxx	####	####				
   	#xxx	xxx	0		Y	?
korwamehhed	####	####				
           	#kõrvamehed	kõrva_mees	d		S	pl n
Josep	####	####				
     	#Joosep	Josep	0		H	sg n
Piisner	####	####				
       	#Piisner	Piisner	0		H	sg n
xxx	####	####				
   	#xxx	xxx	0		Y	?
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Karep	####	####				
     	#Karep	Karep	0		H	sg n
xxx	####	####				
   	#xxx	xxx	0		Y	?
