Kutsoti	kuts_ott	kuts_ott	0		S	sg g
      	#Lugose	Lugose	0		H	sg g
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
abbi	####	####				
    	abi	abi	0		S	sg n
    	abi	abi	0		S	sg g
    	#abi	abi	0		S	sg p
oikanut	####	####				
       	#hõiganud	hõika	nut		V	nud
ning	ning	ning	0		J	
lainut	####	####				
      	#läinud	mine	nut		V	nud
sinna	sinna	sinna	0		D	
watama	####	####				
      	#vaatama	vaata	ma		V	ma
,	,	,			Z	
leidnud	leid=nud	leid=nud	0		A	
       	leid=nud	leid=nud	0		A	sg n
       	leid=nu	leid=nu	d		S	pl n
       	leid=nud	leid=nud	d		A	pl n
       	@leidnud	leid	nud		V	nud
sies	####	####				
    	#siis	siis	0		D	
et	et	et	0		J	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
Jaani	Jaan	Jaan	0		H	adt
     	@Jaani	Jaan	0		H	sg g
     	Jaan	Jaan	0		H	sg p
     	Jaani	Jaani	0		H	sg g
     	Jaani	Jaani	0		H	sg n
     	jaan	jaan	0		S	adt
     	jaan	jaan	0		S	sg g
     	jaan	jaan	0		S	sg p
alla	alla	alla	0		D	
    	@alla	alla	0		K	
maas	@maas	maas	0		D	
    	maa	maa	s		S	sg in
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
ning	ning	ning	0		J	
et	et	et	0		J	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
tedda	####	####				
     	#teda	tema	da		P	sg p
lopsnut	####	####				
       	#lopsinud	lopsi	nut		V	nud
ja	ja	ja	0		J	
kisknut	####	####				
       	#kiskunud	kisku	nut		V	nud
,	,	,			Z	
ni	####	####				
  	#nii	nii	0		D	
et	et	et	0		J	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
werine	verine	verine	0		A	sg n
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
wötnut	####	####				
      	#võtnud	võt	nut		V	nud
sies	####	####				
    	#siis	siis	0		D	
essiste	####	####				
       	#esiteks	esiteks	0		D	
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
Jaani	Jaan	Jaan	0		H	adt
     	Jaan	Jaan	0		H	sg g
     	@Jaani	Jaan	0		H	sg p
     	Jaani	Jaani	0		H	sg g
     	Jaani	Jaani	0		H	sg n
     	jaan	jaan	0		S	adt
     	jaan	jaan	0		S	sg g
     	jaan	jaan	0		S	sg p
oellast	####	####				
       	#õlast	õlg	st		S	sg el
kinni	kinni	kinni	0		D	
tedda	####	####				
     	#teda	tema	da		P	sg p
Andresse	Andre	Andre	sse		H	sg ill
        	£Andrese	Andres	0		H	sg g
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
erra	####	####				
    	#ära	ära	0		D	
kista	kisku	kisku	ta		V	ta
     	£kiskuda	kisku	da		V	da
,	,	,			Z	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
pölle	####	####				
     	#pole	ole	0		V	neg o
jaggo	####	####				
     	#jagu	jagu	0		D	
sanut	####	####				
     	#saanud	saa	nut		V	nud
,	,	,			Z	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
Jaani	Jaan	Jaan	0		H	adt
     	@Jaani	Jaan	0		H	sg g
     	Jaan	Jaan	0		H	sg p
     	Jaani	Jaani	0		H	sg g
     	Jaani	Jaani	0		H	sg n
     	jaan	jaan	0		S	adt
     	jaan	jaan	0		S	sg g
     	jaan	jaan	0		S	sg p
karwast	karvane	karvane	t		A	sg p
       	@karvast	karv	st		S	sg el
kinni	kinni	kinni	0		D	
akkanut	####	####				
       	#hakanud	hakka	nut		V	nud
,	,	,			Z	
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
agga	####	####				
    	#aga	aga	0		J	
sies	####	####				
    	#siis	siis	0		D	
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
naiset	####	####				
      	#naised	naine	t		S	pl n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
kaest	kae	kae	st		S	sg el
     	@käest	käsi	st		S	sg el
     	käest	käest	0		K	
kinni	kinni	kinni	0		D	
wötnut	####	####				
      	#võtnud	võt	nut		V	nud
ja	ja	ja	0		J	
tedda	####	####				
     	#teda	tema	da		P	sg p
jurest	####	####				
      	#juurest	juurest	0		D	
erra	####	####				
    	#ära	ära	0		D	
wedanut	veda=nu	veda=nu	t		S	sg p
       	£vedanud	veda	nut		V	nud
,	,	,			Z	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
sies	####	####				
    	#siis	siis	0		D	
jaelle	####	####				
      	#jälle	jälle	0		D	
naiste	naiste	naine	te		S	pl g
kaest	kae	kae	st		S	sg el
     	käest	käsi	st		S	sg el
     	@käest	käest	0		K	
püdnut	####	####				
      	#püüdnud	püüd	nut		V	nud
lahtisaia	####	####				
         	#lahti_saada	lahti_saa	a		V	da
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
sies	####	####				
    	#siis	siis	0		D	
jaelle	####	####				
      	#jälle	jälle	0		D	
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
karwo	####	####				
     	#karvu	karv	u		S	pl p
pidi	pida	pida	i		V	s
    	@pidi	pidi	0		K	
Andresse	Andre	Andre	sse		H	sg ill
        	£Andrese	Andres	0		H	sg g
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
erra	####	####				
    	#ära	ära	0		D	
toembanut	####	####				
         	#tõmmanud	tõmba	nut		V	nud
,	,	,			Z	
ning	ning	ning	0		J	
löppent	####	####				
       	#lõppenud	lõppe	nt		V	nud
sies	####	####				
    	#siis	siis	0		D	
see	see	see	0		P	sg n
tülli	tüli	tüli	0		S	adt
     	tüll	tüll	0		S	adt
     	tüll	tüll	0		S	sg g
     	tüll	tüll	0		S	sg p
     	tülli	tülli	0		D	
     	£tüli	tüli	0		S	sg n
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
moisa	####	####				
     	mõisa	mõis	0		S	sg g
     	#mõisa	mõis	0		S	adt
lainut	####	####				
      	#läinud	mine	nut		V	nud
,	,	,			Z	
naitama	####	####				
       	#näitama	näita	ma		V	ma
kuida	####	####				
     	#kuidas	kuidas	0		D	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
werrine	####	####				
       	#verine	verine	0		A	sg n
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
.	.	.			Z	
Moisa	####	####				
     	#mõisa	mõis	0		S	sg g
     	mõisa	mõis	0		S	adt
     	mõisa	mõis	0		S	sg p
hoppman	####	####				
       	#opman	opman	0		S	sg n
tunnistab	tunnistab	tunnista	b		V	b
et	et	et	0		J	
Lugose	####	####				
      	#Lugose	Lugose	0		H	sg g
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Endrekson	####	####				
         	#Endrekson	Endrekson	0		H	sg n
ühhel	####	####				
     	#ühel	üks	l		P	sg ad
poolpae	pool_paas	pool_paas	0		S	sg g
       	£poolpäeva	pool_päev	0		S	sg g
ohtol	####	####				
     	#õhtul	õhtu	l		S	sg ad
12mal	####	####				
      	#12ndal	12=s	l		O	sg ad
Jani	Jan	Jan	0		H	adt
    	@Jaani	Jan	0		H	sg g
    	Jan	Jan	0		H	sg p
ku	####	####				
  	#kuu	kuu	0		S	sg g
paewal	####	####				
      	#päeval	päev	l		S	sg ad
moisa	####	####				
     	mõisa	mõis	0		S	sg g
     	#mõisa	mõis	0		S	adt
tulnut	tulnu	tulnu	t		S	sg p
      	£tulnud	tule	nut		V	nud
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
kaiwama	####	####				
       	#kaebama	kaeba	ma		V	ma
et	et	et	0		J	
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
tedda	####	####				
     	#teda	tema	da		P	sg p
olli	####	####				
    	#oli	ole	i		V	s
paksnut	####	####				
       	#peksnud	peks	nut		V	nud
,	,	,			Z	
ning	ning	ning	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Andrese	Andres	Andres	0		H	sg g
naeggo	####	####				
      	#nägu	nägu	0		S	sg n
ja	ja	ja	0		J	
kael	@kael	kael	0		S	sg n
    	kae	kae	l		S	sg ad
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
körwal	####	####				
      	#kõrval	kõrval	0		K	
werrine	####	####				
       	#verine	verine	0		A	sg n
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
,	,	,			Z	
ning	ning	ning	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kaela	kael	kael	0		S	adt
     	@kaela	kael	0		S	sg g
     	kael	kael	0		S	sg p
     	kaela	kaela	0		K	
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
nähja	####	####				
     	#näha	näge	hja		V	da
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
,	,	,			Z	
et	et	et	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
kündega	####	####				
       	#küüntega	küüs	tega		S	pl kom
kistut	kistud	kistud	t		A	sg p
      	£kiskunud	kisku	tut		V	tud
.	.	.			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Rekand	####	####				
      	#Rekand	Rekand	0		H	sg n
tunnistab	tunnistab	tunnista	b		V	b
issi	issi	issi	0		S	sg g
    	issi	issi	0		S	sg n
    	£ise	ise	0		P	sg n
et	et	et	0		J	
Lugose	####	####				
      	#Lugose	Lugose	0		H	sg g
Andresse	Andre	Andre	sse		H	sg ill
        	£Andrese	Andres	0		H	sg g
ninnast	####	####				
       	#ninast	nina	st		S	sg el
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
ja	ja	ja	0		J	
kiskmesse	kise	kise	sse		S	sg ill
         	£kiskumise	kiskumine	0		S	sg g
jurest	####	####				
      	#juurest	juurest	0		K	
werd	verd	veri	0		S	sg p
joksnut	####	####				
       	#jooksnud	jooks	nut		V	nud
,	,	,			Z	
ning	ning	ning	0		J	
ütleb	ütleb	ütle	b		V	b
et	et	et	0		J	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
issi	issi	issi	0		S	sg g
    	issi	issi	0		S	sg n
    	£ise	ise	0		P	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
werrega	####	####				
       	#verega	veri	ga		S	sg kom
enda	enda	ise	0		P	sg g
naeggo	####	####				
      	#nägu	nägu	0		S	sg p
ja	ja	ja	0		J	
kaela	kael	kael	0		S	adt
     	kael	kael	0		S	sg g
     	@kaela	kael	0		S	sg p
     	kaela	kaela	0		K	
maerinut	####	####				
        	#määrinud	määri	nut		V	nud
.	.	.			Z	
Kui	kui	kui	0		D	
   	@kui	kui	0		J	
neil	see	see	l		P	pl ad
    	@neil	tema	l		P	pl ad
muud	muu	muu	d		P	pl n
    	@muud	muu	d		P	sg p
    	muu	muu	d		S	pl n
    	muu	muu	d		S	sg p
    	muu	muu	d		V	d
tunnistust	tunnistust	tunnistus	t		S	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
moistetut	####	####				
         	#mõistetud	mõist	tut		V	tud
:	:	:			Z	
Et	et	et	0		J	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Rekand	####	####				
      	#Rekand	Rekand	0		H	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
perrast	####	####				
       	#pärast	pärast	0		K	
       	pärast	pärast	0		D	
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
Lugose	####	####				
      	#Lugose	Lugose	0		H	sg g
Andresse	Andre	Andre	sse		H	sg ill
        	£Andrese	Andres	0		H	sg g
jaerrele	####	####				
        	#järele	järele	0		K	
laeks	laadi	laadi	ks		V	ks
     	laad	laad	ks		S	sg tr
     	lagi	lagi	ks		S	sg tr
     	£läks	mine	s		V	s
ja	ja	ja	0		J	
tülli	tüli	tüli	0		S	adt
     	tüll	tüll	0		S	adt
     	tüll	tüll	0		S	sg g
     	tüll	tüll	0		S	sg p
     	tülli	tülli	0		D	
     	£tüli	tüli	0		S	sg p
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
ueste	####	####				
     	#uuesti	ueesti	0		D	
airjas	####	####				
      	#ajas	aja	s		V	s
ning	ning	ning	0		J	
et	et	et	0		J	
tedda	####	####				
     	#teda	tema	da		P	sg p
werritses	####	####				
         	#veriseks	verine	s		A	sg tr
loenut	####	####				
      	#löönud	löö	nut		V	nud
,	,	,			Z	
saab	saab	saa	b		V	b
15	15	15	0		N	?
woori	voor	voor	0		S	adt
     	voor	voor	0		S	sg g
     	@voori	voor	0		S	sg p
     	voori	voori	0		V	o
     	voor	voor	i		S	pl p
keppi	kepp	kepp	0		S	adt
     	@keppi	kepp	0		S	sg p
.	.	.			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Raebus	####	####				
      	#Raebus	Raebus	0		H	sg n
agga	####	####				
    	#aga	aga	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
perrast	####	####				
       	#pärast	pärast	0		K	
       	pärast	pärast	0		D	
et	et	et	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
Rekandi	####	####				
       	#Rekandi	Rekand	0		H	sg g
Jaani	Jaan	Jaan	0		H	adt
     	Jaan	Jaan	0		H	sg g
     	@Jaani	Jaan	0		H	sg p
     	Jaani	Jaani	0		H	sg g
     	Jaani	Jaani	0		H	sg n
     	jaan	jaan	0		S	adt
     	jaan	jaan	0		S	sg g
     	jaan	jaan	0		S	sg p
mitte	mitte	mitte	0		D	
muido	####	####				
     	#muidu	muidu	0		D	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
karwast	karvane	karvane	t		A	sg p
       	@karvast	karv	st		S	sg el
Lugose	####	####				
      	#Lugose	Lugose	0		H	sg g
Andresse	Andre	Andre	sse		H	sg ill
        	£Andrese	Andres	0		H	sg g
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
erra	####	####				
    	#ära	ära	0		D	
toembanut	####	####				
         	#tõmmanud	tõmba	nut		V	nud
ning	ning	ning	0		J	
sedda	####	####				
     	#seda	see	da		P	sg p
tülli	tüli	tüli	0		S	adt
     	tüll	tüll	0		S	adt
     	tüll	tüll	0		S	sg g
     	tüll	tüll	0		S	sg p
     	tülli	tülli	0		D	
     	£tüli	tüli	0		S	sg p
mitte	mitte	mitte	0		D	
parremenne	####	####				
          	#paremini	paremini	0		D	
puidnut	####	####				
       	#püüdnud	püüd	nut		V	nud
lahkota	####	####				
       	#lahutada	lahuta	0		V	da
,	,	,			Z	
saab	saab	saa	b		V	b
20	20	20	0		N	?
woori	voor	voor	0		S	adt
     	voor	voor	0		S	sg g
     	@voori	voor	0		S	sg p
     	voori	voori	0		V	o
     	voor	voor	i		S	pl p
keppi	kepp	kepp	0		S	adt
     	@keppi	kepp	0		S	sg p
.	.	.			Z	
Johan	Johan	Johan	0		H	sg n
Moks	####	####				
    	#Moks	Moks	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
Pea	pea	pea	0		D	
   	@pea	pea	0		S	sg g
   	pea	pea	0		S	sg n
   	pida	pida	0		V	o
kohtomees	####	####				
         	#kohtumees	kohtu_mees	0		S	sg n
